,user,text,favorite_count,retweet_count,created_at
54,elonmusk,"@howstuff_works Damn, that machine makes a lot of pretzels!",13546,427,2023-02-26 18:23:38+00:00
55,elonmusk,@TheRabbitHole84 @BernieSanders Wow,3943,251,2023-02-26 18:11:35+00:00
56,elonmusk,Astronaut launch for @NASA tomorrow night! https://t.co/SgjfzBonWP,102402,6386,2023-02-26 18:10:41+00:00
57,elonmusk,@monitoringbias Absolutely,3375,159,2023-02-26 17:55:05+00:00
58,elonmusk,Having a bit of AI existential angst today,89718,5451,2023-02-26 17:51:22+00:00
59,elonmusk,"@monitoringbias Unfortunately, the elite colleges are teaching them this",14282,980,2023-02-26 17:38:45+00:00
60,elonmusk,@CJFerguson1111 @monitoringbias Exactly,4047,173,2023-02-26 17:28:45+00:00
61,elonmusk,@monitoringbias Very disproportionate to promote a false narrative,9800,596,2023-02-26 17:19:14+00:00
62,elonmusk,@RampCapitalLLC 🤣,6513,236,2023-02-26 17:18:06+00:00
63,elonmusk,@TheRabbitHole84 @WolfofLevittown @ScottAdamsSays Interesting,1874,133,2023-02-26 17:17:05+00:00
64,elonmusk,@DavidSacks Accurate,3980,335,2023-02-26 17:13:20+00:00
65,elonmusk,@ibuildthecloud lol,2634,136,2023-02-26 08:58:31+00:00
66,elonmusk,"@monitoringbias For a *very* long time, US media was racist against non-white people, now they’re racist against whites &amp; Asians. 

Same thing happened with elite colleges &amp; high schools in America.

Maybe they can try not being racist.",57824,10547,2023-02-26 08:45:38+00:00
67,elonmusk,@monitoringbias The media is racist,78759,7920,2023-02-26 07:53:42+00:00
68,elonmusk,@MattWallace888 Back when I was ~$100k negative with student debt,116054,3928,2023-02-26 07:52:33+00:00
69,elonmusk,@robbystarbuck @EndWokeness !!,12845,608,2023-02-26 07:45:12+00:00
70,elonmusk,@scienceisstrat1 Interesting,3892,201,2023-02-26 07:43:51+00:00
71,elonmusk,@KanekoaTheGreat 🎯,30779,1795,2023-02-26 07:41:25+00:00
72,elonmusk,@ImMeme0 @EndWokeness Maybe they don’t realize that their propaganda is wrong?,10480,785,2023-02-26 07:40:59+00:00
73,elonmusk,@Enezator 🤣,7409,213,2023-02-26 07:38:03+00:00
74,elonmusk,@Jason So based. Nice work @nbcsnl!,13098,865,2023-02-26 07:33:33+00:00
75,elonmusk,🤯 https://t.co/auYtz3dcyl,53558,4532,2023-02-26 07:30:32+00:00
76,elonmusk,@TheBabylonBee The Hangover is funny tho,9140,361,2023-02-26 07:29:23+00:00
77,elonmusk,@nbcsnl Good one,12559,469,2023-02-26 06:46:04+00:00
78,elonmusk,Rewatching Step Brothers … so good,159647,7739,2023-02-26 05:11:17+00:00
79,elonmusk,@Rainmaker1973 !,3851,245,2023-02-26 04:55:47+00:00
80,elonmusk,😢 https://t.co/3eGpfLlRQJ,251355,15917,2023-02-26 04:49:49+00:00
81,elonmusk,@GRDecter Accurate,1665,92,2023-02-26 04:46:06+00:00
82,elonmusk,@AdultBroker1 @GRDecter There should be more product innovation at his companies tbh,1266,85,2023-02-26 04:45:53+00:00
83,elonmusk,@TrungTPhan This thread is the best Doritos ad ever,5438,219,2023-02-26 04:43:47+00:00
84,elonmusk,https://t.co/UAWjEyhe5U,650231,57865,2023-02-26 04:20:38+00:00
85,elonmusk,@adamdangelo 💯,2216,111,2023-02-26 03:44:42+00:00
86,elonmusk,Why can’t witchcraft defeat inflation!?,174371,19681,2023-02-26 03:39:49+00:00
87,elonmusk,"@pmarca That you follow so many people, but like so few tweets, confuses that heck out of our algorithm btw 🤣",9819,378,2023-02-26 03:39:15+00:00
88,elonmusk,@EvaFoxU 🤣💯,3939,163,2023-02-26 03:09:03+00:00
89,elonmusk,@pmarca 😮,1838,106,2023-02-26 03:06:18+00:00
